field_id,label,input_type,options (value|label per line),required (true/false),help_text,output_key,notes
origin,依頼元,radio,"client|クライアント
internal|社内別部署
self|自分で気になった
other|その他",TRUE,どこから来た依頼かを選択（迷ったら一番近いもの）,依頼元,
target_url,対象URL/画面,text,,TRUE,対象ページURL、または画面名/ページ名を入力してください,対象,
device,端末,radio,"pc|PC
sp|SP
both|両方
unknown|不明",TRUE,どの端末で確認した内容か（不明でもOK）,端末,
request_intent,今回、どんな変更・対応をしたいですか？,radio,"display_change|表示内容を変更したい
feature_change|機能を追加・変更したい
bug_fix|不具合を修正したい
revert_spec|以前の仕様に戻したい
need_consult|まだ整理できていない／相談したい",TRUE,一番近いものを1つ選んでください（迷ったら"相談したい"でOK）,依頼の種類,
phenomenon,今どうなっていますか？,checkbox,"display|期待した表示にならない
search|検索/絞り込みが効かない
suggest|入力補助（サジェスト等）が動かない
content|文言/画像を変更したい
other|その他",TRUE,当てはまるものを選択してください（複数可）,現象,
phenomenon_note,現在の挙動（任意）,textarea,,FALSE,例：氏名入力ありはOK／プルダウンのみだと0件、など,現在の挙動（補足）,
compare,以前/他と比べてどう？,checkbox,"was_working|以前はできた
works_elsewhere|他ページではできる
unknown_spec|仕様通りか分からない
none|比較対象なし",TRUE,当てはまるものを選択してください（複数可）,比較,
compare_when,（以前はできた）時期（任意）,text,,FALSE,例：2024年頃／リニューアル前／いつから、など分かる範囲で,比較（時期）,
compare_url,（他ページではできる）URL（任意）,text,,FALSE,参考ページのURLがあれば入力してください,比較（参考URL）,
ask_type,今ほしい対応,checkbox,"investigate|原因の切り分け（調査）
confirm_spec|仕様の確認
rollback|元に戻せるか確認
estimate_fix|修正の見積がほしい",TRUE,今回ほしい対応を選択してください（複数可）,依頼内容,
deadline,期限（任意）,text,,FALSE,例：◯/◯まで／今週中／未定、など,期限,
attachments,参考（スクショ/動画/資料URL）（任意）,textarea,,FALSE,スクショURL、動画、資料リンクなど（なくてもOK）,参考,
director_summary,依頼文（コピペ用・自動生成）,output,,FALSE,生成された依頼文をBacklogに貼り付けます,（生成）依頼文,出力エリア（コピー）
route,次のステップ（自動判定）,output,,FALSE,入力内容から、次に進むステップを判定します,（内部）ルート,実装側制御用
repro_steps,再現手順,textarea,,TRUE,例：URL→プルダウン選択→検索→結果0件、など,再現手順,
current_behavior,今の挙動（詳細）,textarea,,TRUE,実際に起きている挙動を具体的に,現在の挙動,
expected_behavior,期待する挙動（仮でOK）,textarea,,TRUE,『こうなってほしい』を仮でOKなので書いてください,期待する挙動,
spec_source,根拠（分かる範囲）,textarea,,FALSE,例：過去の挙動／要件定義／クライアントの明言、など,仕様根拠,
impact_scope,影響範囲（分かる範囲）,textarea,,FALSE,例：会員一覧のみ／検索UI共通、など（分からなければ空でOK）,影響範囲（仮）,
investigation_output,原因確認依頼文（コピペ用・自動生成）,output,,FALSE,生成された文面をBacklogに貼り付けます,（生成）調査依頼文,
req_url_spec,修正内容が分かる資料URL,text,,TRUE,修正内容が確定している資料（aun等）・要件定義書のリンクを入力してください,要件定義URL,
done_definition,どうなったら完了？（OKの条件）,textarea,,TRUE,完了と判断できる状態を具体的に書いてください（例：条件Xで結果が表示される）,完了条件,
qa_points,特に気をつけてほしい点（任意）,textarea,,FALSE,確認時に注意してほしい点や端末条件など（任意）,確認観点,
implementation_output,修正依頼文（コピペ用・自動生成）,output,,FALSE,生成された文面をBacklogに貼り付けます,（生成）実装依頼文,
,,,,,,,
phase,フェーズ,select,"design_survey|原因確認・仕様確認（まず正しい状態を揃える）
implementation|修正・反映（やることが決まっているので作業に入る）",TRUE,"design_survey|仕様か不具合かを確認し、正しい状態を揃えます
implementation|修正内容と完了の条件が決まっている状態です",phase,フォーム全体の表示セットを切り替え
projectName,案件名,text,,TRUE,,projectName,案件概要
purposeKPI,目的/KPI,textarea,,TRUE,,purposeKPI,案件概要
targetScope,対象範囲（対象URL）,textarea,,TRUE,,targetScope,案件概要
excludedScope,今回対応しない範囲,textarea,,FALSE,,excludedScope,案件概要
cms,使用CMS,select,"HubSpot|HubSpot
WordPress|WordPress
その他|その他",TRUE,,cms,環境・前提
theme,使用テーマ名,text,,FALSE,,theme,環境・前提（cms≠その他で表示）
existingModulePolicy,既存モジュール利用方針,select,"既存優先|既存優先
新規あり|新規あり
未定|未定",TRUE,,existingModulePolicy,環境・前提（HubSpot時のみ表示・必須）
touchableRange,触って良い範囲,textarea,,FALSE,,touchableRange,環境・前提
untouchableRange,触れない範囲,textarea,,FALSE,,untouchableRange,環境・前提
constraintStatus,CMS制約の把握状況,select,"known|把握している
partial|一部把握
unknown|把握していない",TRUE,,constraintStatus,制約・方針
constraintContent,制約内容,textarea,,FALSE,,constraintContent,制約・方針
constraintNextAction,制約確認の担当/期限,text,,TRUE,,constraintNextAction,制約（constraintStatus=unknownのとき表示・必須）
difficultAreaPolicy,難しい箇所の対応方針,select,"近似|近似
後回し|後回し
スコープ外|スコープ外
相談して決めたい|相談して決めたい",TRUE,,difficultAreaPolicy,制約・方針
designInvolvementPolicy,デザインの関与方針,select,"|選択してください
design_judgment_needed|デザイン要否を含めて判断してほしい
existing_tone_judgment|既存トンマナを前提に、設計判断してほしい
no_design_judgment|デザイン判断は不要（仕様固定前提）",TRUE,,designInvolvementPolicy,デザインの関与方針（検討）- 設計・調査フェーズ専用
designJudgmentReference,参考情報,textarea,,FALSE,,designJudgmentReference,デザイン（design_judgment_needed または existing_tone_judgment のとき表示）
designRole,デザインの関与範囲,select,"design_creation|デザイン作成あり
existing_tone|既存トンマナを踏襲して実装（デザイン作成なし）
spec_fixed|デザイン判断なし（仕様固定）",TRUE,,designRole,デザインの関与範囲 - 実装フェーズ専用
existingDesignReference,既存デザインの参照元,textarea,,FALSE,,existingDesignReference,デザイン（designRole=existing_toneのとき表示）
implementationPriority,実装優先要素,checkbox_multiple,"レイアウト|レイアウト
幅|幅
画像サイズ感|画像サイズ感
見出しサイズ|見出しサイズ
カラー|カラー
フォント|フォント
装飾|装飾",TRUE,,implementationPriority,デザイン（designRole=design_creationのとき表示・必須）
referenceLevel,参考レベル要素,checkbox_multiple,"カラー|カラー
英字フォント|英字フォント
背景|背景
装飾|装飾",FALSE,,referenceLevel,デザイン（designRole=design_creationのとき表示）
exceptionAllowed,差分許容の例外項目,checkbox_multiple,"色|色
フォント|フォント
装飾|装飾
画像比率|画像比率
細かい余白|細かい余白
hover等|hover等",TRUE,,exceptionAllowed,デザイン（designRole=spec_fixedのとき表示・必須。実装フェーズでは spec_fixed 時は別表示ロジックのため非表示の場合あり）
exceptionNote,例外の補足テキスト,textarea,,FALSE,,exceptionNote,デザイン（designRole=spec_fixedのとき表示）
exceptionDecisionOwner,差分が出た場合の判断者,select,"|選択してください
ディレクター（一次判断）|ディレクター（一次判断）
クライアント（ディレクター経由で確認）|クライアント（ディレクター経由で確認）
未定（※着手前に確定必須）|未定（※着手前に確定必須）",TRUE,,exceptionDecisionOwner,デザイン（designRole=spec_fixedのとき表示・必須）
figmaBaseFrameUrl,Figmaの基準フレームURL,url,,TRUE,,figmaBaseFrameUrl,デザイン（designRole=design_creation または existing_toneのとき表示・必須）
figmaReferenceFrameUrl,参考フレームURL,url,,FALSE,,figmaReferenceFrameUrl,デザイン（design_creation/existing_tone時。入力時はURL形式検証）
baseFrameNote,基準フレームの補足,textarea,,FALSE,,baseFrameNote,デザイン（design_creation/existing_tone時）
contentRendering,コンテンツの静的/動的方針,select,"static_ok|静的でOK
dynamic_required|動的実装が必要
dynamic_later|次フェーズで動的化
undecided|未定",TRUE,,contentRendering,コンテンツの静的/動的方針
dataSourceSpec,データ元（正）,textarea,,TRUE,,dataSourceSpec,コンテンツ（dynamic_required または dynamic_later のとき表示・必須）
dataOwner,更新担当,select,"クライアント|クライアント
社内|社内
未定|未定",TRUE,,dataOwner,コンテンツ（dynamic_required/dynamic_later時表示・必須）
displayRule,表示条件（補足）,textarea,,FALSE,,displayRule,コンテンツ（動的時。実装フェーズでは要件確定=Yesかつ動的時のみ表示）
dynamicLaterTiming,動的化予定の時期/条件,textarea,,FALSE,,dynamicLaterTiming,コンテンツ（contentRendering=dynamic_laterのとき表示）
futureDynamicPossible,将来的に動的化する可能性,select,"あり|あり
なし|なし
未定|未定",TRUE,,futureDynamicPossible,コンテンツ（static_ok または undecided のとき表示・必須）
futureDynamicCondition,将来動的化の条件・時期,textarea,,TRUE,,futureDynamicCondition,コンテンツ（futureDynamicPossible=ありのとき表示・必須）
requirementConfirmed,要件確定チェック,select,"|選択してください
confirmed|要件が確定している
not_confirmed|要件が確定していない",TRUE,,requirementConfirmed,実装フェーズのみ
requirementDocumentUrl,要件定義書URL,url,,TRUE,,requirementDocumentUrl,requirementConfirmed=confirmedのとき表示・必須
requirementDocumentVersion,版/最終更新日（任意）,text,,FALSE,,requirementDocumentVersion,requirementConfirmed=confirmedのとき表示
implementationPolicy,実装方針,select,"A|管理画面優先
B|CSS固定
MIX|混在
TBD|未定",TRUE,,implementationPolicy,実装方針
adminChangeableRange,管理画面で変更できる前提の範囲,textarea,,FALSE,,adminChangeableRange,実装方針（implementationPolicy=A または MIXのとき表示）
fixedTargets,CSS固定する対象,textarea,,TRUE,,fixedTargets,実装方針（B または MIXのとき表示・必須）
clientNonEditableNote,クライアント側で変更できない点の説明方針,textarea,,TRUE,,clientNonEditableNote,実装方針（B または MIXのとき表示・必須）
acceptanceCriteria,受け入れ条件,textarea,,TRUE,,acceptanceCriteria,実装方針
releaseIncludedPages,リリースに含めるページ・機能,textarea,,TRUE,,releaseIncludedPages,今回のリリース範囲・優先順位
releaseExcludedPages,今回のリリースに含めないページ・機能,textarea,,FALSE,,releaseExcludedPages,今回のリリース範囲・優先順位
designFixDate,デザインFIX日,date,,TRUE,,designFixDate,スケジュール（実装フェーズ・designRole=design_creationのとき表示・必須）
implementationStartDate,実装着手OK日,date,,TRUE,,implementationStartDate,スケジュール（実装フェーズのみ）
internalReviewDeadline,社内確認期限,date,,FALSE,,internalReviewDeadline,スケジュール（実装フェーズのみ）
uatDeadline,UAT/承認期限,date,,FALSE,,uatDeadline,スケジュール（実装フェーズのみ）
releaseDate,リリース日,date,,TRUE,,releaseDate,スケジュール（実装フェーズのみ）
releaseDateReason,リリース日がマストの場合、その理由,textarea,,FALSE,,releaseDateReason,スケジュール（実装フェーズのみ）
designImplementationStartDate,実装着手の希望時期,date,,FALSE,,designImplementationStartDate,設計・調査フェーズ用：スケジュール（目安）
decisionMaker,判断責任者,text,,TRUE,,decisionMaker,判断・連絡（実装フェーズのみ）
implementationConsultant,実装相談先,text,,TRUE,,implementationConsultant,判断・連絡（実装フェーズのみ）
contactMethod,連絡手段,select,"Slack|Slack
Backlog|Backlog
メール|メール",TRUE,,contactMethod,判断・連絡（実装フェーズのみ）
emergencyContactPolicy,緊急時の連絡方針,textarea,,FALSE,,emergencyContactPolicy,判断・連絡（実装フェーズのみ）
designSpecDecision,仕様・技術判断,text,,FALSE,,designSpecDecision,設計・調査フェーズ用：判断・連絡
designUnclearResponse,不明時の対応,textarea,,FALSE,,designUnclearResponse,設計・調査フェーズ用：判断・連絡
manualPlan,マニュアル作成方針,select,"director|ディレクター作成
implementer|実装側作成（要調整）
later|次フェーズ
tbd|未定",TRUE,,manualPlan,納品後の運用・マニュアル（実装フェーズのみ）
manualScope,作成範囲,textarea,,TRUE,,manualScope,納品後（manualPlan=implementerのとき表示・必須）
manualDeadline,期限,date,,TRUE,,manualDeadline,納品後（manualPlan=implementerのとき表示・必須）
scheduleApproval,スケジュール合意の有無,select,"|選択してください
agreed|合意済
not_agreed|合意なし",TRUE,,scheduleApproval,納品後（manualPlan=implementerのとき表示・必須）
updateOwner,更新担当,select,"クライアント|クライアント
社内|社内
未定|未定",TRUE,,updateOwner,納品後（実装フェーズ）/ 共通
operationExplanation,操作説明,select,"リリース時資料納品|リリース時資料納品
オンライン説明|オンライン説明
次フェーズ|次フェーズ",TRUE,,operationExplanation,納品後（実装フェーズ）/ 共通
designManualPlan,納品後の運用・マニュアル（想定）,textarea,,FALSE,,designManualPlan,設計・調査フェーズ用：納品後の運用・マニュアル（想定）
,,,,,,,
release_url,本番URL（必須）,,,,,,
release_datetime,公開日時（任意）,,,,,,
check_device,確認端末（PC/SP/両方）,,,,,,
check_points,確認観点（チェック式＋自由記述少し）,,,,,,
result,結果（OK/NG/一部NG）,,,,,,
proof,証跡（スクショURL等）,,,,,,